,Text,Hashtag,CleanTweet
260,"great article in the @fbonews about my friend jim o’connor who is employing innovative research practices to increase efficiency in the ethanol industry. i’m grateful to jim for his dedication to agriculture, to our state and to our rural communities.   
 
https://www.southernminn.com/faribault_daily_news/news/article_918fc509-e798-5816-bd5e-752c13ab0878.html#utm_source=southernminn.com&utm_campaign=%2fnewsletters%2ffaribault-daily-news%2f%3flkasjdfl%3bka%26-dc%3d1590490815&utm_medium=email&utm_content=headline",[],great article in the  fbonews about my friend jim o connor who is employing innovative research practices to increase efficiency in the ethanol industry  i m grateful to jim for his dedication to agriculture  to our state and to our rural communities
262,i signed onto a letter to @secretarysonny asking that he provide flexibility to @usda’s cfap program so that livestock producers who sold their animals after april 15 can be compensated for the losses they’ve incurred due to historically low prices from the #covid19 pandemic. http://pbs.twimg.com/media/ezdosmbx0am1r-_.png http://pbs.twimg.com/media/ezdosmtxsaagf1g.png http://pbs.twimg.com/media/ezdosmax0ay1cj9.png,['#covid19'],i signed onto a letter to  secretarysonny asking that he provide flexibility to  usda s cfap program so that livestock producers who sold their animals after april    can be compensated for the losses they ve incurred due to historically low prices from the  covid   pandemic
264,rt @keycnewsnow .@rephagedorn and sen. @chuckgrassley share their reactions to #georgefloyd protests happening in minnesota and iowa. https://www.keyc.com/2020/06/01/lawmakers-react-protests-their-states/,['#georgefloyd'],rt  keycnewsnow   rephagedorn and sen   chuckgrassley share their reactions to  georgefloyd protests happening in minnesota and iowa
306,what happened to #georgefloyd was a horrific act of police brutality. people around the world are rightly horrified. but engaging in looting and violence is not the answer. the answer is for the criminal justice system to hold officers accountable. http://pbs.twimg.com/amplify_video_thumb/1267478341365440512/img/rfkzpnebmcgyzij8.jpg https://video.twimg.com/amplify_video/1267478341365440512/vid/480x270/pldgjqcos5e0idhv.mp4?tag=13,['#georgefloyd'],what happened to  georgefloyd was a horrific act of police brutality  people around the world are rightly horrified  but engaging in looting and violence is not the answer  the answer is for the criminal justice system to hold officers accountable
308,".@foxnews: sen. cruz on murder charge in death of #georgefloyd: ""it is wrong for any police officer to carry out brutality like that"" https://video.foxnews.com/v/6160440990001",['#georgefloyd'],foxnews  sen  cruz on murder charge in death of  georgefloyd   it is wrong for any police officer to carry out brutality like that
310,"there is no legitimate law enforcement purpose for what we saw in #georgefloyd’s case. it was clearly police brutality and it was not conduct we expect of any officer. now, the criminal justice system must hold these officers accountable for their actions. http://pbs.twimg.com/amplify_video_thumb/1266761735786115076/img/8jmuhh0n_hfdqtzg.jpg https://video.twimg.com/amplify_video/1266761735786115076/vid/480x270/k26nbi13aqiejikv.mp4?tag=13",['#georgefloyd'],there is no legitimate law enforcement purpose for what we saw in  georgefloyd s case  it was clearly police brutality and it was not conduct we expect of any officer  now  the criminal justice system must hold these officers accountable for their actions
312,the @who is controlled by the chinese communist government and parroted its propaganda as #covid19 went global. @realdonaldtrump made the right decision withdrawing u.s. funding. america is not going to support a mouthpiece for communist propaganda. http://pbs.twimg.com/amplify_video_thumb/1267544840960704512/img/nclvewkbueryrhgw.jpg https://video.twimg.com/amplify_video/1267544840960704512/vid/480x270/btlawxivp5jvf0ju.mp4?tag=13,['#covid19'],the  who is controlled by the chinese communist government and parroted its propaganda as  covid   went global   realdonaldtrump made the right decision withdrawing u s  funding  america is not going to support a mouthpiece for communist propaganda
314,"rt @sentedcruz there is no legitimate law enforcement purpose for what we saw in #georgefloyd’s case. it was clearly police brutality and it was not conduct we expect of any officer. now, the criminal justice system must hold these officers accountable for their actions. http://pbs.twimg.com/amplify_video_thumb/1266761735786115076/img/8jmuhh0n_hfdqtzg.jpg https://video.twimg.com/amplify_video/1266761735786115076/vid/480x270/k26nbi13aqiejikv.mp4?tag=13",['#georgefloyd'],rt  sentedcruz there is no legitimate law enforcement purpose for what we saw in  georgefloyd s case  it was clearly police brutality and it was not conduct we expect of any officer  now  the criminal justice system must hold these officers accountable for their actions
390,the unity of peaceful protest against the horrific murder of #georgefloyd by four rogue minneapolis officers has been hijacked by socialist groups like antifa. this violence detracts from the horrible injustice inflicted upon george floyd.,['#georgefloyd'],the unity of peaceful protest against the horrific murder of  georgefloyd by four rogue minneapolis officers has been hijacked by socialist groups like antifa  this violence detracts from the horrible injustice inflicted upon george floyd
450,"today, i will be taking a moment of silence at noon to remember the over 100,000 lives that have been lost in this country due to covid-19. 

if you are able, i ask that you join me and help keep the memories of those who have passed, alive. #dayofmourning http://pbs.twimg.com/media/ezcmj4awkaasksc.jpg",['#dayofmourning'],today  i will be taking a moment of silence at noon to remember the over         lives that have been lost in this country due to covid       if you are able  i ask that you join me and help keep the memories of those who have passed  alive   dayofmourning
451,"rt @whipclyburn at noon today, our nation will pause for a moment of silence to remember the over 100,000 lives lost to covid-19.

to all those who have lost loved ones, your country stands with you during this difficult time. #dayofmourning http://pbs.twimg.com/media/ezbx_pzwsaaqu56.jpg",['#dayofmourning'],rt  whipclyburn at noon today  our nation will pause for a moment of silence to remember the over         lives lost to covid      to all those who have lost loved ones  your country stands with you during this difficult time   dayofmourning
453,"we must remember their names. #blacklivesmatter https://twitter.com/repsylviagarcia/status/1267485346612359175 qt @repsylviagarcia one too many names.

#georgefloyd’s murder needs to be a call to action to once and for all put an end to racism, police brutality &amp; white supremacy in america.

#blacklivesmatter #saytheirnames #sayhername http://pbs.twimg.com/tweet_video_thumb/ezcdl0dwoaarako.jpg https://video.twimg.com/tweet_video/ezcdl0dwoaarako.mp4","['#blacklivesmatter', '#georgefloyd', '#blacklivesmatter', '#saytheirnames', '#sayhername']",we must remember their names   blacklivesmatter
455,we must confront the racial inequality and systematic injustice in our society. we must listen. we must show compassion. we must use this opportunity to work towards change together. #blacklivesmatter. http://pbs.twimg.com/media/ezd7iahxsaa-ot5.jpg,['#blacklivesmatter'],we must confront the racial inequality and systematic injustice in our society  we must listen  we must show compassion  we must use this opportunity to work towards change together   blacklivesmatter
511,"peaceful protestors &amp; allies - we’ve been horrified by the lawless destruction happening across america.

last night in a mostly peaceful protest, hundreds in el paso came together in solidarity to denounce racism &amp; mourn his death.

i pray for justice &amp; peace.
#blacklivesmatter",['#blacklivesmatter'],peaceful protestors  amp  allies   we ve been horrified by the lawless destruction happening across america   last night in a mostly peaceful protest  hundreds in el paso came together in solidarity to denounce racism  amp  mourn his death   i pray for justice  amp  peace   blacklivesmatter
512,"this is incredibly painful to watch and read.

but every american needs to understand the brutality that killed #georgefloyd.

we must come together as a country, demand accountability, reform the injustice within the system, and eviscerate the racism that is a cancer in america. https://twitter.com/evanchill/status/1267318526865551360 qt @evanchill what happened when george floyd was killed in police custody on may 25? in our new video, we reconstruct the incident in detail, using security footage, witness videos, documents and scanner audio (this video contains scenes of graphic violence.) https://www.nytimes.com/video/us/100000007159353/george-floyd-arrest-death-video.html",['#georgefloyd'],this is incredibly painful to watch and read   but every american needs to understand the brutality that killed  georgefloyd   we must come together as a country  demand accountability  reform the injustice within the system  and eviscerate the racism that is a cancer in america
531,deeply saddened by the violence which impacted our community this weekend. the actions of opportunists should not detract from the message of those who protested peacefully and responsibly.  #blacklivesmatter 1/2,['#blacklivesmatter'],deeply saddened by the violence which impacted our community this weekend  the actions of opportunists should not detract from the message of those who protested peacefully and responsibly    blacklivesmatter
550,rt @govricketts watch now as gov. ricketts provides an update on the state's #covid19 response with the nebraska department of health and human services: https://www.facebook.com/governorpetericketts/videos/901679956967288/?vh=e&d=n,['#covid19'],rt  govricketts watch now as gov  ricketts provides an update on the state s  covid   response with the nebraska department of health and human services
560,"#georgefloyd was murdered. america needs a president who will rise above the fray, bridge these divisions and heal our nation, not hide in a bunker. #blacklivesmatter  and justice must be served. https://www.orlandosentinel.com/news/nationworld/ct-nw-donald-trump-george-floyd-protests-20200601-skcod3l27nh6dnpyuhmo74hzp4-story.html","['#georgefloyd', '#blacklivesmatter']",georgefloyd was murdered  america needs a president who will rise above the fray  bridge these divisions and heal our nation  not hide in a bunker   blacklivesmatter  and justice must be served
561,"at noon today i ask that all americans pause for a moment of silence so that we may grieve as a nation for the over 100,000 victims of #covid19. to all those who have lost loved ones, we stand with you during this difficult time. #dayofmourning http://pbs.twimg.com/media/ezb-3lswoam36ch.jpg","['#covid19', '#dayofmourning']",at noon today i ask that all americans pause for a moment of silence so that we may grieve as a nation for the over         victims of  covid    to all those who have lost loved ones  we stand with you during this difficult time   dayofmourning
576,"unless and until we address police being able to operate with impunity and commit acts of violence against unarmed citizens with no consequences, we are never going to make any real progress or solutions. https://twitter.com/repsylviagarcia/status/1267485346612359175 qt @repsylviagarcia one too many names.

#georgefloyd’s murder needs to be a call to action to once and for all put an end to racism, police brutality &amp; white supremacy in america.

#blacklivesmatter #saytheirnames #sayhername http://pbs.twimg.com/tweet_video_thumb/ezcdl0dwoaarako.jpg https://video.twimg.com/tweet_video/ezcdl0dwoaarako.mp4","['#georgefloyd', '#blacklivesmatter', '#saytheirnames', '#sayhername']",unless and until we address police being able to operate with impunity and commit acts of violence against unarmed citizens with no consequences  we are never going to make any real progress or solutions
577,.@officialmlk3 spoke to the nation on @cnn about my slate of police reform bills. thank you my friend &amp; let's keep up the good fight. #blacklivesmatter http://pbs.twimg.com/amplify_video_thumb/1267566681628565504/img/fcmcijr0x3ywp_g6.jpg https://video.twimg.com/amplify_video/1267566681628565504/vid/480x270/1wzz8txl_tt2f6kp.mp4?tag=13,['#blacklivesmatter'],officialmlk  spoke to the nation on  cnn about my slate of police reform bills  thank you my friend  amp  let s keep up the good fight   blacklivesmatter
639,"rt @lgbteqcaucus this #pridemonth is different, but we still have reason for hope. 🏳️‍🌈 http://pbs.twimg.com/ext_tw_video_thumb/1267569809916600327/pu/img/oa-7bg3zjb-ag6zu.jpg https://video.twimg.com/ext_tw_video/1267569809916600327/pu/vid/320x320/a0qo6oogfdz6i-ck.mp4?tag=10",['#pridemonth'],rt  lgbteqcaucus this  pridemonth is different  but we still have reason for hope
660,what’s his name? #georgefloyd,['#georgefloyd'],what s his name   georgefloyd
665,"rt @congressmanhice the tragic deaths of #georgefloyd &amp; so many others reveal a spiritual problem in america's heart.

racism is a sin. we are all equal in god's eyes.

peaceful protests are right— but violence is unacceptable.

we must restore our love in god &amp; each other. 

https://www.youtube.com/watch?v=de5bkgoy2es&feature=youtu.be http://pbs.twimg.com/ext_tw_video_thumb/1266818578118062080/pu/img/jv8kqeegihdrnfom.jpg https://video.twimg.com/ext_tw_video/1266818578118062080/pu/vid/480x270/bbyak5zi_a5cqx5j.mp4?tag=10",['#georgefloyd'],rt  congressmanhice the tragic deaths of  georgefloyd  amp  so many others reveal a spiritual problem in america s heart   racism is a sin  we are all equal in god s eyes   peaceful protests are right  but violence is unacceptable   we must restore our love in god  amp  each other
696,"at noon i'll be joining senators @chriscoons @brianschatz and our @senatedems colleagues in a moment of silence for the over 100,000 american lives lost to covid-19 in support of the millions of loved ones thrown into mourning. #weremember https://www.nytimes.com/interactive/2020/05/24/us/us-coronavirus-deaths-100000.html",['#weremember'],at noon i ll be joining senators  chriscoons  brianschatz and our  senatedems colleagues in a moment of silence for the over         american lives lost to covid    in support of the millions of loved ones thrown into mourning   weremember
710,"#weremember don welge, a successful businessman and us army veteran remembered by his family as down-to-earth, humble, and an eternal optimist. he passed on april 16 at the age of 84. may he rest in peace. http://pbs.twimg.com/media/ezcu6vjxkaa61h0.jpg",['#weremember'],weremember don welge  a successful businessman and us army veteran remembered by his family as down to earth  humble  and an eternal optimist  he passed on april    at the age of     may he rest in peace
711,"#weremember josephine tapiru &amp; luis tapiro, jr. josephine was a nurse at park view rehab in edgewater, luis jr. a student at harold washington college. they died 4 days apart. josephine was 56, luis jr. was 20. he had no underlying health conditions. may they rest in peace. http://pbs.twimg.com/media/ezcscb2xyay81mx.png",['#weremember'],weremember josephine tapiru  amp  luis tapiro  jr  josephine was a nurse at park view rehab in edgewater  luis jr  a student at harold washington college  they died   days apart  josephine was     luis jr  was     he had no underlying health conditions  may they rest in peace
712,"#weremember jim schwark from bonefield, il. jim was a passionate cubs fan who loved gardening with his wife elizabeth, golfing with his son james, having breakfast with his daughter caitlin at egg harbor, &amp; visiting his daughter megan in virginia. may he rest in peace. http://pbs.twimg.com/media/ezcr9-fwkayblzy.jpg",['#weremember'],weremember jim schwark from bonefield  il  jim was a passionate cubs fan who loved gardening with his wife elizabeth  golfing with his son james  having breakfast with his daughter caitlin at egg harbor   amp  visiting his daughter megan in virginia  may he rest in peace
713,"#weremember patricia’s sister wanda baily — from crete, il —  who succumbed to the virus nine days after her sister. wanda’s son, tarah said of his mom: “she was always the life of the party, the go-to person. she didn’t deserve to die alone.” may she rest in peace. http://pbs.twimg.com/media/ezcr5bcxsaia5cv.png",['#weremember'],weremember patricia s sister wanda baily   from crete  il    who succumbed to the virus nine days after her sister  wanda s son  tarah said of his mom   she was always the life of the party  the go to person  she didn t deserve to die alone   may she rest in peace
714,"#weremember patricia frieson — known as “aunt pat” to her family, a retired nurse who loved singing with friends and members of her tightknit family at progressive beulah pentecostal church on chicago’s south side. may she rest in peace. http://pbs.twimg.com/media/ezcrwixxqachz7v.png",['#weremember'],weremember patricia frieson   known as  aunt pat  to her family  a retired nurse who loved singing with friends and members of her tightknit family at progressive beulah pentecostal church on chicago s south side  may she rest in peace
715,"today, #weremember the 100,000 american lives lost to #covid19 with a moment of silence.
 
among them are more than 5,000 illinoisans. today we mourn their loss.","['#weremember', '#covid19']",today   weremember the         american lives lost to  covid   with a moment of silence    among them are more than       illinoisans  today we mourn their loss
740,"today, i will be taking a moment of silence at noon to remember the over 100,000 lives that have been lost in this country due to covid-19. if you are able, i ask that you join me and help keep the memories of those who have passed, alive. #dayofmourning",['#dayofmourning'],today  i will be taking a moment of silence at noon to remember the over         lives that have been lost in this country due to covid     if you are able  i ask that you join me and help keep the memories of those who have passed  alive   dayofmourning
741,bus drivers are among the frontline heroes of this public health crisis and deserve our thanks. i am pleased to announce @ridecarta will receive a $7.2 million federal grant through the cares act to help them respond to #covid19 while safely fulfilling our transportation needs.,['#covid19'],bus drivers are among the frontline heroes of this public health crisis and deserve our thanks  i am pleased to announce  ridecarta will receive a      million federal grant through the cares act to help them respond to  covid   while safely fulfilling our transportation needs
750,"at noon today, our nation will pause for a moment of silence to remember the over 100,000 lives lost to covid-19.

to all those who have lost loved ones, your country stands with you during this difficult time. #dayofmourning http://pbs.twimg.com/media/ezbx_pzwsaaqu56.jpg",['#dayofmourning'],at noon today  our nation will pause for a moment of silence to remember the over         lives lost to covid      to all those who have lost loved ones  your country stands with you during this difficult time   dayofmourning
752,"please pause for a moment of silence as we remember the over 100,000 lives that have been lost in this country to covid-19. #dayofmourning http://pbs.twimg.com/media/ezcd_j2xsae8c0k.jpg",['#dayofmourning'],please pause for a moment of silence as we remember the over         lives that have been lost in this country to covid      dayofmourning
770,"more than 100,000 lives have been lost in the u.s. to #covid19.

they aren’t just a statistic—they are mothers, fathers, grandparents, friends, neighbors, and colleagues.

to all those who have lost loved ones, we stand with you during this difficult time. #dayofmourning","['#covid19', '#dayofmourning']",more than         lives have been lost in the u s  to  covid     they aren t just a statistic they are mothers  fathers  grandparents  friends  neighbors  and colleagues   to all those who have lost loved ones  we stand with you during this difficult time   dayofmourning
780,"during the month of june, we honor all of the lgbtq americans who have been and continue to be an integral part of american history. let us continue to celebrate and take pride in our nation’s diversity as we work to build a bright future for all americans. #pridemonth http://pbs.twimg.com/media/ezchnwexgaeie5h.jpg",['#pridemonth'],during the month of june  we honor all of the lgbtq americans who have been and continue to be an integral part of american history  let us continue to celebrate and take pride in our nation s diversity as we work to build a bright future for all americans   pridemonth
795,"today we observe a national #dayofmourning for the 100,000 plus lives lost to covid-19, including over 10,000 in nj. we honor the nurses, doctors, frontline workers, family, friends, and neighbors who have been impacted. they will never be forgotten.",['#dayofmourning'],today we observe a national  dayofmourning for the         plus lives lost to covid     including over        in nj  we honor the nurses  doctors  frontline workers  family  friends  and neighbors who have been impacted  they will never be forgotten
816,"congratulations to judge badalamenti on being confirmed to the us district court for the middle district of florida.
 
as governor, i was proud to appoint him &amp; i know he’ll continue to uphold the constitution and serve our nation and state well. https://twitter.com/senatecloakroom/status/1267580709213962243 qt @senatecloakroom confirmed, 55-22: executive calendar #602 john leonard badalamenti to be u.s. district judge for the middle district of florida",[],congratulations to judge badalamenti on being confirmed to the us district court for the middle district of florida    as governor  i was proud to appoint him  amp  i know he ll continue to uphold the constitution and serve our nation and state well
831,"we need to channel our anger and outrage into action and change. 

all of us, but especially those of us who benefit from racism and oppression, need to look deep down and ask what more we can do to listen, learn, and act. #blacklivesmatter http://pbs.twimg.com/media/ezexy2ax0aehrlb.jpg http://pbs.twimg.com/media/ezexy4rx0aajrra.jpg http://pbs.twimg.com/media/ezexy2awkae-vc5.jpg",['#blacklivesmatter'],we need to channel our anger and outrage into action and change    all of us  but especially those of us who benefit from racism and oppression  need to look deep down and ask what more we can do to listen  learn  and act   blacklivesmatter
832,"if #georgefloyd looked like me, he’d still be alive today, and that is as sickening as it is wrong. 

today in worcester, our community came together, united in peaceful protest, to demand an end to systemic racism in our country. http://pbs.twimg.com/tweet_video_thumb/ezexv3rwkaetblp.jpg https://video.twimg.com/tweet_video/ezexv3rwkaetblp.mp4",['#georgefloyd'],if  georgefloyd looked like me  he d still be alive today  and that is as sickening as it is wrong    today in worcester  our community came together  united in peaceful protest  to demand an end to systemic racism in our country
871,"today, we observe june 1st as a national day of mourning and lament and we remember the more than 100,000 americans who have died due to covid-19. we honor the memories of those who have passed. #dayofmourning",['#dayofmourning'],today  we observe june  st as a national day of mourning and lament and we remember the more than         americans who have died due to covid     we honor the memories of those who have passed   dayofmourning
901,"doctors.
nurses.
bus drivers.
cashiers.
mothers.
fathers.
siblings.
grandparents.
aunts.
uncles.
cousins.
friends.
neighbors.
colleagues.

these are the over 100,000 lives lost. 

they will never be forgotten. #dayofmourning",['#dayofmourning'],doctors  nurses  bus drivers  cashiers  mothers  fathers  siblings  grandparents  aunts  uncles  cousins  friends  neighbors  colleagues   these are the over         lives lost    they will never be forgotten   dayofmourning
926,tomorrow: at 12:30 pm join me for a virtual town hall with @sbagov ct district director mark hayward. we will be discussing the latest on #covid19 relief for small businesses. you can watch this virtual event using the link below. https://www.facebook.com/repjohnlarson/live/,['#covid19'],tomorrow  at       pm join me for a virtual town hall with  sbagov ct district director mark hayward  we will be discussing the latest on  covid   relief for small businesses  you can watch this virtual event using the link below
927,"testing is vital in keeping our communities safe from #covid19- especially in black and latinx communities where this virus has hit the hardest. thank you @hartfordhealthc and all of our partners for making this free, easy, and convenient testing site possible. http://pbs.twimg.com/media/ezdovgaxkauax6h.jpg http://pbs.twimg.com/media/ezdovgzxsaeoyct.jpg",['#covid19'],testing is vital in keeping our communities safe from  covid    especially in black and latinx communities where this virus has hit the hardest  thank you  hartfordhealthc and all of our partners for making this free  easy  and convenient testing site possible
950,"farmers: if your operation has been directly impacted by #covid19, make sure to apply for relief through @usda’s coronavirus food assistance program. for more info, visit: https://www.farmers.gov/cfap#apply",['#covid19'],farmers  if your operation has been directly impacted by  covid    make sure to apply for relief through  usda s coronavirus food assistance program  for more info  visit
951,"there must be justice for george floyd. right now, we have to work together with our friends and neighbors—as one nation—toward solutions to these recurring cases.
 
these iowans have found a place to start. https://twitter.com/austinkellerman/status/1267485305575100417 qt @austinkellerman powerful: des moines law enforcement kneels with #georgefloyd protesters. http://pbs.twimg.com/media/ezbljjywoaervy2.jpg https://video.twimg.com/amplify_video/1267406764175241217/vid/480x270/w_me_7owfdty9arr.mp4?tag=13",['#georgefloyd'],there must be justice for george floyd  right now  we have to work together with our friends and neighbors as one nation toward solutions to these recurring cases    these iowans have found a place to start
961,@huykehector @anakasparian don’t just tweet about it. tell us what we need to do to fix it. any of us can express outrage. we need solutions. #blacklivesmatter,['#blacklivesmatter'],huykehector  anakasparian don t just tweet about it  tell us what we need to do to fix it  any of us can express outrage  we need solutions   blacklivesmatter
971,"we cannot overlook the impact of the coronavirus on latino communities &amp; the disproportionate # of households reporting symptoms of covid-19. more data is needed, as is assistance &amp; protections for minority workers, who are put at risk in frontline jobs. https://www.usatoday.com/story/news/nation/2020/06/01/latino-homes-report-serious-covid-19-symptoms-nearly-twice-often/5243160002/",[],we cannot overlook the impact of the coronavirus on latino communities  amp  the disproportionate   of households reporting symptoms of covid     more data is needed  as is assistance  amp  protections for minority workers  who are put at risk in frontline jobs
974,"50 years ago, #lgbtq americans stood up at stonewall and spoke out against discrimination &amp; injustice. as we mark #pridemonth, we pay tribute to the gay rights movement &amp; recommit ourselves to the unfinished work in the fight for equality and civil rights. https://www.majorityleader.gov/content/hoyer-statement-lgbtq-pride-month http://pbs.twimg.com/media/ezdxlmlxgaaorrr.jpg","['#lgbtq', '#pridemonth']",years ago   lgbtq americans stood up at stonewall and spoke out against discrimination  amp  injustice  as we mark  pridemonth  we pay tribute to the gay rights movement  amp  recommit ourselves to the unfinished work in the fight for equality and civil rights
1005,"last week, we surpassed the tragic, painful milestone of 100,000 innocent lives lost forever to #covid19. this week, we will lose thousands more.  
 
today, #weremember them with a moment of silence—honoring their lives &amp; reflecting on this dark chapter in our history.","['#covid19', '#weremember']",last week  we surpassed the tragic  painful milestone of         innocent lives lost forever to  covid    this week  we will lose thousands more      today   weremember them with a moment of silence honoring their lives  amp  reflecting on this dark chapter in our history
1006,".@senatordurbin &amp; i are calling for an investigation regarding concerns for ice detainees &amp; staff at the pulaski county detention center in il. this facility lacks the layout for social distancing &amp; has seen a rapid spread of #covid19.

https://www.duckworth.senate.gov/news/press-releases/duckworth-durbin-call-on-dhs-and-hhs-inspectors-general-to-investigate-covid-19-health-concerns-at-pulaski-county-detention-center",['#covid19'],senatordurbin  amp  i are calling for an investigation regarding concerns for ice detainees  amp  staff at the pulaski county detention center in il  this facility lacks the layout for social distancing  amp  has seen a rapid spread of  covid
1007,"#georgefloyd can't breathe anymore. it is on those of us lucky enough to still be here today to use every breath we have to fight for the justice he was robbed of on the corner of chicago avenue and east 38th street in minneapolis.
 
my op-ed in @cnn: 
 https://www.cnn.com/2020/06/01/opinions/fight-for-justice-for-george-floyd-duckworth/index.html",['#georgefloyd'],georgefloyd can t breathe anymore  it is on those of us lucky enough to still be here today to use every breath we have to fight for the justice he was robbed of on the corner of chicago avenue and east   th street in minneapolis    my op ed in  cnn
1020,"rt @senatedems we're holding a moment of silence to remember the more than 100,000 american lives lost to covid-19. #weremember https://twitter.com/i/broadcasts/1owxwqxnzvagq",['#weremember'],rt  senatedems we re holding a moment of silence to remember the more than         american lives lost to covid      weremember
1021,"rt @senwhitehouse today we pause to honor the more than 100,000 american lives, including 720 rhode islanders, we’ve tragically lost to covid-19. too many families have had to grieve in solitude. #weremember",['#weremember'],rt  senwhitehouse today we pause to honor the more than         american lives  including     rhode islanders  we ve tragically lost to covid     too many families have had to grieve in solitude   weremember
1022,"at this time of almost unimaginable pain, it is essential that we pause to honor every life lost to covid-19 &amp; that we grieve together.

please consider participating in a national moment of silence today at noon. #weremember",['#weremember'],at this time of almost unimaginable pain  it is essential that we pause to honor every life lost to covid     amp  that we grieve together   please consider participating in a national moment of silence today at noon   weremember
1023,"rt @senatorshaheen #weremember the more than 100,000 americans who have lost their lives to covid-19. behind this staggering death toll are those mourning the loss of their loved ones. i encourage all granite staters to join me in honoring those impacted w/a national moment of silence today at noon",['#weremember'],rt  senatorshaheen  weremember the more than         americans who have lost their lives to covid     behind this staggering death toll are those mourning the loss of their loved ones  i encourage all granite staters to join me in honoring those impacted w a national moment of silence today at noon
